"dpcd","departmentName","departmentDetails","departmentInfo"
"230","SCHOOL OF ECONOMICS(TEACHING)","2(12) TEACHING STAFF","ECO.TEACH"
"240","SCHOOL OF BIOCHEMISTRY","PART I TEACHING 2(13)","SC.OF BIOC"
"244","SCHOOL OF JOURNALISM","PART I TEACHING 2(15)","SC.OF JOUR"
"246","COMPUTER CENTRE(TEACHING)","PART I TEACHING 2(16)",""
"248","SCHOOL OF COMP. SCIENCE(MCA)","PART I TEACHING 2(17)","SCS(MCA)"
"252","COMPUTER SCIENCE (MSC)","PART I TEACHING 2(23)","SCS(MSC)"
"256","SCHOOL OF ELECTRONICS","PART I TEACHING 2(24)","S ELECT"
"260","SCHOOL OF BIOTECHNOLOGY","PART I  TEACHING 2(18)","BIOTECHNOG"
"264","SCHOOL OF COMP.LANG. & CULTURE","PART I  TEACHING 2(19)","LANGU."
"268","FUTURE STUDIES","PART I  TEACHING 2(20)","FUTUR.STUD"
"272","PHYSICAL EDUCATION","PART I  TEACHING 2(21)","PHYCL.EDU"
"276","ENERGY VIIITH PLAN","PART I  TEACHING 2(22) (A)","ENRG.8 PLN"
"284","ADULT EDUCATION","PART I  TEACHING 2(25)",""
"288","SPORTS SECTION","PART I  TEACHING (B)",""
"292","ACADEMIC STAFF COLLEGE","PART II TEACHING (15)","ACA.S.COLL"
"296","E.M.R.C.","PART II TEACHING (31)","AVRC"
"401","CENTRAL OFFICE","PART I NON TEACHING 2(1)","CENT.OFF."
"405","SCHOOL OF EDUCATION","PART I NON TEACHING 2(2)","SC.OF EDUC"
"409","SCHOOL OF RUSSIAN","PART I NON TEACHING 2(3)","SC.OF RUSS"
"413","I.M.S. (NON-TEACHING)","PART I NON TEACHING 2(4)","IMS-NTCH-A"
"417","SCHOOL OF PHYSICS","PART I NON TEACHING 2(5)","SC.OF PHY"
"421","U.S.I.C","PART I NON TEACHING 2(6)","USIC"
"425","SCHOOL OF MATHEMATICS","PART I NON TEACHING 2(7)","SC.OF MATH"
"429","SCHOOL OF STATISTICS","PART I NON TEACHING 2(8)","SC.OF STAT"
"433","SCHOOL OF LIFE SCIENCE","PART I NON TEACHING 2(9)","SC.OF L.SC"
"437","BOTANICAL GARDEN","PART I NON TEACHING 2(10)","BAT.GARDN"
"441","SCHOOL OF CHEMISTRY","PART I NON TEACHING 2(11)","SC.OF CHEM"
"442","SCHOOL OF ECONOMICS (STAFF)","2(12) NON-TEACHING","ECO.NONTCH"
"451","SCHOOL OF BIOCHEMISTRY","PART I NON TEACHING 2(13)","SC.OF BOIC"
"455","SCHOOL OF JOURNALISM","PART I NON TEACHING 2(15)","SC.OF JOR"
"459","COMPUTER CENTRE","PART I NON TEACHING 2(16)","C.CENTRE"
"463","SC OF COMP SC(MCA)","PART I NON TEACHING 2(17)","SCS(MCA)"
"467","COMP.SC.(MSC)","PART I NON TEACHING 2(23)","SCS(MSC)"
"471","SCHOOL OF ELECTRONICS","PART I NON TEACHING 2(24)","S.O.ELECT."
"475","SCHOOL OF BIO-TECHNOLOGY","PART-I NON TEACHING 2(18)","BIO-TECH"
"479","SCHOOL OF COMP.LANG. & CULTURE","PART-I NON TEACHING 2(19)","LANG.NONTC"
"483","PHYSICAL EDUCATION","PART I NON TEACHING 2(21)","PHYCL.EDU"
"487","SCHOOL OF ENERGY","PART I NON TEACHING 2(22)(A)","ENRG.NONTC"
"495","ADULT EDUCATION","PART I NON TEACHING 2(25)","ADEDU SEC."
"501","SPORTS SECTION","PART I NON TEACHING (B)","SPORT SEC"
"505","SIREMAL BAPNA HOSTEL","PART I NON TEACHING 7(1)A","BAPNA-HOST"
"509","K.N.GIRL'S HOSTEL","PART I NON TEACHING 7(2)A","K.N.HOSTE"
"513","J.N.BOY'S HOSTEL","PART I NON TEACHING 7(2)B","J.N.HOSTEL"
"521","ACADEMIC STAFF COLLEGE","PART II NON TEACHING (15)","AC.ST.COLL"
"iii","I.M.S. (SELF FINANCE)","0","0"
